Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,
Ireland,45.6,43.8,41.9,40,38.2,36.7,35.3,34,32.8,31.6,30.4,29.2,28,27,26,24.7,23.3,21.9,20.7,19.7,19,18.5,18.3,18,17.5,17,16.2,15.2,14.2,13,12,11.2,10.4,9.8,9.3,8.9,8.7,8.4,8.3,8,7.7,7.2,6.8,6.4,6.2,6.1,6.1,6.1,6.1,6.1,5.9,5.8,5.4,5.1,4.7,4.4,4.1,3.9,3.8,3.6,3.5,3.4,3.4,3.2,3.1,3,
Israel,,,,,,,,,,,,,,,,,,,,,,,,,25,22.4,20.3,18.6,17.2,16.1,15.3,14.6,14,13.5,12.8,12.1,11.5,11,10.4,10.1,9.7,9.2,8.7,8.2,7.6,7.2,6.7,6.4,6.1,5.9,5.6,5.4,5.2,4.9,4.7,4.5,4.3,4.1,3.9,3.8,3.7,3.5,3.4,3.3,3.3,3.2,
Italy,71.2,65.8,61.1,56.9,53.5,51,49.3,48.1,47,45.6,44.2,42.7,41,39.2,37.3,35.7,34.3,33.1,32,30.9,29.7,28.2,26.5,24.5,22.5,20.5,18.7,17.3,16.1,15.1,14.3,13.4,12.6,11.9,11.2,10.5,9.9,9.4,9.1,8.7,8.3,8,7.7,7.3,6.9,6.4,6,5.6,5.3,5,4.7,4.4,4.3,4,3.8,3.7,3.7,3.6,3.5,3.5,3.4,3.3,3.2,3.1,3,2.9,
Japan,57.8,53.6,49.9,46.6,43.7,41.4,39.2,37.2,35.1,32.9,30.4,27.9,25.5,23.2,21,19.1,17.5,16.3,15.1,14.2,13.4,12.6,11.9,11.3,10.6,10,9.4,8.8,8.3,7.9,7.4,6.9,6.5,6.2,5.8,5.5,5.2,5,4.8,4.7,4.6,4.5,4.4,4.3,4.3,4.1,4,3.8,3.6,3.4,3.3,3.1,3,2.9,2.9,2.7,2.7,2.6,2.5,2.4,2.4,2.3,2.2,2.1,2.1,2,
Netherlands,25,23.9,22.8,21.7,20.7,19.8,18.9,18.2,17.5,17,16.4,16.1,15.6,15.3,14.9,14.5,14.2,13.8,13.4,13.1,12.6,12.2,11.7,11.3,10.9,10.5,10.1,9.7,9.3,9,8.8,8.6,8.4,8.2,8,7.9,7.7,7.5,7.2,7,6.8,6.5,6.3,6.1,5.8,5.7,5.5,5.3,5.3,5.2,5.1,5,4.9,4.7,4.6,4.5,4.3,4.2,4,3.8,3.7,3.6,3.5,3.3,3.3,3.2,
New Zealand,28.5,28,27.3,26.6,25.9,25.2,24.8,24.3,23.8,23.3,22.6,21.7,20.9,20,19.3,18.7,18.3,17.9,17.5,17.2,16.9,16.5,16.2,15.8,15.4,14.9,14.4,13.9,13.5,13.1,12.7,12.4,12.1,11.9,11.6,11.3,11,10.6,10.2,9.7,9.2,8.7,8.2,7.8,7.5,7.1,6.9,6.6,6.4,6.2,6.1,5.9,5.8,5.7,5.5,5.4,5.3,5.3,5.3,5.2,5.1,5,4.9,4.9,4.8,4.7,
Norway,26.9,25.2,23.7,22.5,21.7,21,20.5,20,19.5,19,18.4,18,17.5,17.1,16.6,16,15.4,14.8,14.2,13.7,13.1,12.7,12.2,11.6,11,10.5,9.9,9.3,8.8,8.4,8.2,8,8,8.1,8.2,8.3,8.3,8.2,7.9,7.5,7,6.4,5.8,5.3,4.9,4.6,4.4,4.2,4.1,4,4,3.8,3.6,3.5,3.4,3.2,3.1,3,2.9,2.7,2.6,2.5,2.3,2.3,2.2,2,
Portugal,,,,,90.3,89,87.8,87,86.3,85.7,84.6,82.3,78.7,74.4,70.1,66.4,63.6,61.7,60.2,58.1,55.4,51.8,47.6,43.3,39.4,36,32.7,29.5,26.8,24.6,22.8,21.3,19.9,18.6,17.6,16.5,15.5,14.5,13.5,12.5,11.5,10.6,9.7,8.8,8.1,7.4,7,6.6,6.3,5.9,5.5,5.2,4.7,4.3,4,3.7,3.5,3.3,3.3,3.2,3.1,3.1,3.1,3.1,3,3,
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.5,14.6,13.8,13.1,12.3,11.5,10.8,10.1,9.4,8.8,8.2,7.7,7.1,6.6,6.2,5.8,5.4,5.2,4.8,4.5,4.3,4.1,3.9,3.7,3.5,3.3,3.2,3,2.8,2.7,2.6,2.4,2.3,2.2,2.1,
Spain,90.5,80.7,73,67.4,64,61.9,60,57.4,54.5,51.1,47.7,44.4,41.7,39.3,37.3,35.6,33.9,32.1,30.1,27.8,25.5,24,22.6,21.3,20,20.4,20.4,19.7,18.4,16.8,15.3,14.1,13.2,12.6,12,11.4,10.9,10.4,10.1,9.7,9.3,8.8,8.5,8,7.5,6.9,6.4,6.1,5.8,5.6,5.4,5.3,5.2,5.1,5,4.8,4.6,4.4,4.2,4.1,3.9,3.8,3.7,3.7,3.6,3.5,
Sweden,22.1,21,20,19.1,18.4,17.8,17.5,17.1,16.9,16.6,16.3,16,15.6,15,14.4,13.7,13,12.6,12.1,11.7,11.3,10.9,10.4,9.8,9.2,8.7,8.3,8,7.6,7.4,7.2,6.9,6.8,6.6,6.5,6.4,6.3,6.2,6.2,6.1,5.8,5.5,5.1,4.8,4.4,4,3.8,3.6,3.5,3.4,3.4,3.4,3.3,3.2,3.1,3,2.8,2.7,2.6,2.5,2.5,2.4,2.4,2.4,2.4,2.4,
Switzerland,31.3,30.2,29.1,28.1,27,25.8,24.7,23.6,22.8,22.1,21.6,21.2,20.7,20.1,19.3,18.4,17.6,16.9,16.2,15.6,15,14.3,13.6,12.8,12,11.2,10.4,9.8,9.2,8.7,8.4,8.1,7.8,7.6,7.4,7.3,7.2,7.1,7,6.8,6.7,6.4,6.1,5.8,5.5,5.2,5,4.9,4.8,4.7,4.6,4.7,4.6,4.4,4.4,4.3,4.2,4.1,4,3.9,3.9,3.8,3.7,3.6,3.5,3.4,
United Kingdom,31.6,30.3,29,27.7,26.6,25.5,24.7,24.1,23.6,23.3,22.9,22.5,22,21.4,20.8,20.1,19.6,19.1,18.7,18.4,18,17.7,17.2,16.6,16,15.4,14.7,14.1,13.4,12.7,12,11.4,10.8,10.4,10,9.7,9.5,9.2,8.8,8.4,7.9,7.4,7,6.6,6.3,6.1,5.9,5.8,5.8,5.7,5.6,5.4,5.3,5.3,5.2,5.1,5,4.9,4.7,4.6,4.4,4.2,4.1,3.9,3.7,3.5,
United States,32.5,31.6,30.7,29.9,29.1,28.5,27.8,27.3,26.9,26.4,25.9,25.4,24.9,24.4,23.8,23.3,22.7,22,21.3,20.6,19.9,19.1,18.3,17.5,16.7,16,15.2,14.5,13.8,13.2,12.6,12.1,11.7,11.2,10.9,10.6,10.4,10.2,10,9.7,9.4,9.1,8.8,8.5,8.2,8,7.7,7.5,7.3,7.2,7.1,7,6.9,6.8,6.9,6.8,6.7,6.6,6.5,6.4,6.3,6.1,6.1,5.9,5.7,5.6,
